"purpose","month","Norge"
"Overnattinger i alt",2010-01-01,1090776
"Overnattinger i alt",2010-02-01,1333581
"Overnattinger i alt",2010-03-01,1454497
"Overnattinger i alt",2010-04-01,1231740
"Overnattinger i alt",2010-05-01,1329930
"Overnattinger i alt",2010-06-01,2006865
"Overnattinger i alt",2010-07-01,2434930
"Overnattinger i alt",2010-08-01,2188896
"Overnattinger i alt",2010-09-01,1632005
"Overnattinger i alt",2010-10-01,1387321
"Overnattinger i alt",2010-11-01,1333871
"Overnattinger i alt",2010-12-01,968606
"Overnattinger i alt",2011-01-01,1154715
"Overnattinger i alt",2011-02-01,1385562
"Overnattinger i alt",2011-03-01,1580329
"Overnattinger i alt",2011-04-01,1258892
"Overnattinger i alt",2011-05-01,1488760
"Overnattinger i alt",2011-06-01,2014745
"Overnattinger i alt",2011-07-01,2550524
"Overnattinger i alt",2011-08-01,2274841
"Overnattinger i alt",2011-09-01,1675307
"Overnattinger i alt",2011-10-01,1436306
"Overnattinger i alt",2011-11-01,1392925
"Overnattinger i alt",2011-12-01,990331
"Overnattinger i alt",2012-01-01,1252385
"Overnattinger i alt",2012-02-01,1481533
"Overnattinger i alt",2012-03-01,1611348
"Overnattinger i alt",2012-04-01,1255167
"Overnattinger i alt",2012-05-01,1499502
"Overnattinger i alt",2012-06-01,2128427
"Overnattinger i alt",2012-07-01,2512819
"Overnattinger i alt",2012-08-01,2268385
"Overnattinger i alt",2012-09-01,1746505
"Overnattinger i alt",2012-10-01,1517798
"Overnattinger i alt",2012-11-01,1488686
"Overnattinger i alt",2012-12-01,1041077
"Overnattinger i alt",2013-01-01,1248629
"Overnattinger i alt",2013-02-01,1436321
"Overnattinger i alt",2013-03-01,1534296
"Overnattinger i alt",2013-04-01,1465610
"Overnattinger i alt",2013-05-01,1520977
"Overnattinger i alt",2013-06-01,2133189
"Overnattinger i alt",2013-07-01,2412816
"Overnattinger i alt",2013-08-01,2252063
"Overnattinger i alt",2013-09-01,1690284
"Overnattinger i alt",2013-10-01,1542537
"Overnattinger i alt",2013-11-01,1519055
"Overnattinger i alt",2013-12-01,1011386
"Overnattinger i alt",2014-01-01,1255271
"Overnattinger i alt",2014-02-01,1447108
"Overnattinger i alt",2014-03-01,1637094
"Overnattinger i alt",2014-04-01,1295805
"Overnattinger i alt",2014-05-01,1658492
"Overnattinger i alt",2014-06-01,2183837
"Overnattinger i alt",2014-07-01,2565853
"Overnattinger i alt",2014-08-01,2402297
"Overnattinger i alt",2014-09-01,1816934
"Overnattinger i alt",2014-10-01,1559422
"Overnattinger i alt",2014-11-01,1507237
"Overnattinger i alt",2014-12-01,1105756
"Overnattinger i alt",2015-01-01,1327712
"Overnattinger i alt",2015-02-01,1514177
"Overnattinger i alt",2015-03-01,1646415
"Overnattinger i alt",2015-04-01,1422999
"Overnattinger i alt",2015-05-01,1724600
"Overnattinger i alt",2015-06-01,2371419
"Overnattinger i alt",2015-07-01,2897064
"Overnattinger i alt",2015-08-01,2545732
"Overnattinger i alt",2015-09-01,1886669
"Overnattinger i alt",2015-10-01,1667914
"Overnattinger i alt",2015-11-01,1520150
"Overnattinger i alt",2015-12-01,1141585
"Overnattinger i alt",2016-01-01,1315989
"Overnattinger i alt",2016-02-01,1632891
"Overnattinger i alt",2016-03-01,1642001
"Overnattinger i alt",2016-04-01,1566164
"Overnattinger i alt",2016-05-01,1628099
"Overnattinger i alt",2016-06-01,2465825
"Overnattinger i alt",2016-07-01,3118851
"Overnattinger i alt",2016-08-01,2773932
"Overnattinger i alt",2016-09-01,2022447
"Overnattinger i alt",2016-10-01,1697024
"Overnattinger i alt",2016-11-01,1576988
"Overnattinger i alt",2016-12-01,1182939
"Overnattinger i alt",2017-01-01,1361887
"Overnattinger i alt",2017-02-01,1596695
"Overnattinger i alt",2017-03-01,1789475
"Overnattinger i alt",2017-04-01,1481209
"Overnattinger i alt",2017-05-01,1767543
"Overnattinger i alt",2017-06-01,2507774
"Overnattinger i alt",2017-07-01,3117776
"Overnattinger i alt",2017-08-01,2871426
"Overnattinger i alt",2017-09-01,2132559
"Overnattinger i alt",2017-10-01,1750379
"Overnattinger i alt",2017-11-01,1647576
"Overnattinger i alt",2017-12-01,1255748
"Overnattinger i alt",2018-01-01,1427426
"Overnattinger i alt",2018-02-01,1635272
"Overnattinger i alt",2018-03-01,1793734
"Overnattinger i alt",2018-04-01,1620485
"Overnattinger i alt",2018-05-01,1828403
"Overnattinger i alt",2018-06-01,2597846
