quote_date,paper,exch,open,high,low,close,volume,value
20180914,EQNR,Oslo Børs,217.20,217.70,216.00,216.70,2359301,511287693
20180913,EQNR,Oslo Børs,216.60,217.50,215.90,216.90,2321299,503460300
20180912,EQNR,Oslo Børs,215.10,218.00,215.00,216.80,3226387,700344761
20180911,EQNR,Oslo Børs,211.90,214.60,211.10,214.60,3255669,694126580
20180910,EQNR,Oslo Børs,209.90,211.20,209.30,210.10,2267136,476770375
20180907,EQNR,Oslo Børs,212.10,212.60,207.20,209.30,3401766,714375308
20180906,EQNR,Oslo Børs,211.40,212.30,210.00,210.80,2605303,549919485
20180905,EQNR,Oslo Børs,215.30,215.30,210.10,210.10,3724590,789634752
20180904,EQNR,Oslo Børs,215.50,216.30,214.80,215.60,2294072,494508876
20180903,EQNR,Oslo Børs,215.20,216.00,214.30,215.30,1667772,359056291
20180831,EQNR,Oslo Børs,218.20,218.30,215.10,215.10,2979861,643071335
20180830,EQNR,Oslo Børs,219.50,219.50,217.20,218.20,1965660,429174459
20180829,EQNR,Oslo Børs,217.70,219.20,217.70,218.80,1942713,424702393
20180828,EQNR,Oslo Børs,218.50,219.00,217.40,218.10,2269769,495513199
20180827,EQNR,Oslo Børs,217.00,217.90,216.70,217.90,1657439,360422516
20180824,EQNR,Oslo Børs,215.70,216.80,213.20,215.30,3089973,664231799
20180823,EQNR,Oslo Børs,216.50,217.40,215.30,215.40,2019932,436630570
20180822,EQNR,Oslo Børs,214.80,216.70,214.00,216.20,1770195,382267074
20180821,EQNR,Oslo Børs,214.00,215.80,213.00,215.80,2100166,450458208
20180820,EQNR,Oslo Børs,213.50,216.00,212.90,216.00,1726180,371527230
20180817,EQNR,Oslo Børs,212.10,214.60,212.00,212.20,2447996,521477235
20180816,EQNR,Oslo Børs,210.80,212.40,210.20,211.00,2790374,589559514
20180815,EQNR,Oslo Børs,215.10,215.10,211.10,211.20,2722021,578991055
20180814,EQNR,Oslo Børs,216.10,216.70,214.80,214.90,2204776,475507419
20180813,EQNR,Oslo Børs,215.00,216.80,214.80,216.60,2359037,510172094
20180810,EQNR,Oslo Børs,215.00,216.00,214.50,215.00,1953199,420333375
20180809,EQNR,Oslo Børs,217.80,217.80,215.40,216.00,2126732,460152030
20180808,EQNR,Oslo Børs,219.90,219.90,217.60,218.20,1712645,374923772
20180807,EQNR,Oslo Børs,217.20,219.90,216.90,219.90,2339509,513061602
20180806,EQNR,Oslo Børs,217.10,217.60,215.80,215.90,1504726,325652848
20180803,EQNR,Oslo Børs,216.10,216.50,214.60,215.80,1890601,407619433
20180802,EQNR,Oslo Børs,213.70,215.70,213.40,214.90,2503785,537244469
20180801,EQNR,Oslo Børs,216.60,217.00,213.60,215.20,2987606,642788542
20180731,EQNR,Oslo Børs,213.90,216.90,213.30,216.60,3633282,785025302
20180730,EQNR,Oslo Børs,213.20,214.20,212.60,212.60,1893657,403549303
20180727,EQNR,Oslo Børs,211.90,213.20,211.40,213.20,2600212,552943636
20180726,EQNR,Oslo Børs,215.60,215.60,210.10,210.60,3358033,711076713
20180725,EQNR,Oslo Børs,214.10,216.00,213.10,214.50,3615026,774440751
20180724,EQNR,Oslo Børs,212.40,213.90,210.70,213.80,2589691,550910587
20180723,EQNR,Oslo Børs,212.60,214.90,212.30,213.20,2078231,443583271
20180720,EQNR,Oslo Børs,212.00,214.20,211.80,212.80,2260536,480906498
20180719,EQNR,Oslo Børs,212.60,215.10,211.70,214.10,2230237,475477503
20180718,EQNR,Oslo Børs,214.00,214.50,211.70,212.00,2318895,492826820
20180717,EQNR,Oslo Børs,214.80,215.90,211.40,213.10,2403912,512372596
20180716,EQNR,Oslo Børs,217.90,218.40,214.10,214.20,2241463,483137876
20180713,EQNR,Oslo Børs,219.00,219.30,216.50,218.20,2769482,603493035
20180712,EQNR,Oslo Børs,218.80,219.90,216.60,218.20,2976565,650585151
20180711,EQNR,Oslo Børs,222.60,223.90,220.00,221.20,3181982,705243664
20180710,EQNR,Oslo Børs,220.50,225.50,220.40,225.40,3004426,672289468
20180709,EQNR,Oslo Børs,217.00,220.10,217.00,220.10,1975216,433272332
20180706,EQNR,Oslo Børs,219.10,219.40,215.50,216.70,2424380,526179421
20180705,EQNR,Oslo Børs,215.30,221.10,214.40,219.90,3916562,857804823
20180704,EQNR,Oslo Børs,216.00,216.00,213.60,214.20,2094886,449479702
20180703,EQNR,Oslo Børs,214.40,217.00,212.30,214.40,2847767,610946300
20180702,EQNR,Oslo Børs,214.80,215.80,213.00,213.70,1939883,415543779
20180629,EQNR,Oslo Børs,215.10,217.20,214.60,216.40,2536659,548570229
20180628,EQNR,Oslo Børs,215.00,217.30,213.60,215.00,2526943,544102297
20180627,EQNR,Oslo Børs,212.60,215.90,210.50,215.20,3569855,762161732
20180626,EQNR,Oslo Børs,209.10,211.60,208.50,210.00,2870689,603166578
20180625,EQNR,Oslo Børs,213.50,213.70,209.10,209.20,2686342,566867379
20180622,EQNR,Oslo Børs,206.00,214.50,205.10,214.30,4718382,999001395
20180621,EQNR,Oslo Børs,212.40,213.90,209.00,209.00,4120225,867399775
20180620,EQNR,Oslo Børs,215.40,216.50,213.30,213.60,3267655,700800034
20180619,EQNR,Oslo Børs,213.90,214.90,213.00,214.40,3013057,645348437
20180618,EQNR,Oslo Børs,215.00,216.50,212.80,215.10,3649810,782985676
20180615,EQNR,Oslo Børs,218.00,219.10,215.70,216.20,4639426,1006849438
20180614,EQNR,Oslo Børs,214.20,219.10,214.20,218.80,2880124,625600010
20180613,EQNR,Oslo Børs,216.10,217.70,215.00,215.10,2970501,641289597
20180612,EQNR,Oslo Børs,217.70,218.60,216.10,217.00,2669119,579552483
20180611,EQNR,Oslo Børs,217.20,218.60,216.10,218.40,2354532,512916277
20180608,EQNR,Oslo Børs,217.40,217.50,215.50,216.70,2572126,557011472
20180607,EQNR,Oslo Børs,215.80,218.00,214.80,217.40,2666795,577768625
20180606,EQNR,Oslo Børs,213.50,215.80,213.50,214.60,2908243,623927129
20180605,EQNR,Oslo Børs,214.20,216.20,211.40,212.30,2939143,626415350
20180604,EQNR,Oslo Børs,216.20,216.80,214.40,215.00,2122561,457015739
20180601,EQNR,Oslo Børs,215.20,217.30,214.70,215.90,2348576,507120171
20180531,EQNR,Oslo Børs,213.30,215.60,211.50,215.30,6932085,1488037222
20180530,EQNR,Oslo Børs,207.50,211.80,207.30,211.10,2968373,624776262
20180529,EQNR,Oslo Børs,204.60,208.40,202.30,207.60,2567379,528938831
20180528,EQNR,Oslo Børs,202.00,207.70,201.60,205.30,2200200,452699695
20180525,EQNR,Oslo Børs,210.10,211.70,205.40,205.50,4746432,988028683
20180524,EQNR,Oslo Børs,215.70,216.60,210.50,211.30,4816754,1023489575
20180523,EQNR,Oslo Børs,217.50,217.90,214.60,215.60,4351781,938339447
20180522,EQNR,Oslo Børs,220.50,221.90,219.00,219.10,3734693,820977087
20180518,EQNR,Oslo Børs,220.00,221.80,219.30,221.20,4432734,978727905
20180516,EQNR,Oslo Børs,220.00,220.00,216.60,217.80,2837436,617027786
20180515,EQNR,Oslo Børs,218.00,220.80,217.00,220.80,3659592,803940829
20180514,EQNR,Oslo Børs,216.50,216.80,214.40,216.80,2163869,467402152
20180511,EQNR,Oslo Børs,216.20,218.00,214.80,216.70,3182202,688115505
20180509,EQNR,Oslo Børs,210.10,214.60,210.00,214.60,4803434,1023662943
20180508,EQNR,Oslo Børs,207.00,208.90,206.90,208.00,6145237,1278926118
20180507,EQNR,Oslo Børs,207.30,209.80,207.10,209.30,2102697,439654611
20180504,EQNR,Oslo Børs,205.80,206.80,205.10,206.00,2753968,567106331
20180503,EQNR,Oslo Børs,206.80,207.90,204.80,205.10,2521708,519895062
20180502,EQNR,Oslo Børs,205.10,206.70,204.70,206.60,3417224,704574554
20180430,EQNR,Oslo Børs,204.30,205.60,203.80,205.50,2273690,465776901
20180427,EQNR,Oslo Børs,206.20,207.40,204.80,205.70,2484734,511708700
20180426,EQNR,Oslo Børs,200.40,207.20,200.10,206.20,5014003,1024699360
20180425,EQNR,Oslo Børs,199.50,200.40,197.45,198.50,5057258,1006183982
20180424,EQNR,Oslo Børs,201.10,204.50,201.10,204.40,3219306,654109739
20180423,EQNR,Oslo Børs,200.00,201.70,199.65,200.50,3101740,620574348
20180420,EQNR,Oslo Børs,202.90,202.90,197.95,198.70,3911572,781562709
20180419,EQNR,Oslo Børs,203.80,204.00,199.40,200.70,4603961,925529584
20180418,EQNR,Oslo Børs,198.80,202.70,198.35,201.40,4332532,869503997
20180417,EQNR,Oslo Børs,198.70,199.25,197.40,197.60,3256720,644357509
20180416,EQNR,Oslo Børs,197.95,198.55,196.55,198.55,2283972,451923227
20180413,EQNR,Oslo Børs,199.40,199.55,197.30,198.90,3932015,780524311
20180412,EQNR,Oslo Børs,200.30,201.90,197.85,198.90,4601076,916615571
20180411,EQNR,Oslo Børs,196.90,200.00,196.10,199.60,4531900,898920261
20180410,EQNR,Oslo Børs,192.80,196.90,192.75,196.90,3694111,721573548
20180409,EQNR,Oslo Børs,189.45,191.70,188.90,191.60,3029551,577727518
20180406,EQNR,Oslo Børs,190.00,191.65,188.80,190.90,3090588,588118083
20180405,EQNR,Oslo Børs,187.05,190.75,186.10,190.50,4178062,786006159
20180404,EQNR,Oslo Børs,185.95,186.50,182.55,185.00,3582945,662382618
20180403,EQNR,Oslo Børs,181.20,185.55,181.20,184.45,4917791,904827417
20180328,EQNR,Oslo Børs,182.15,184.65,181.85,184.65,2538591,466191340
20180327,EQNR,Oslo Børs,182.95,184.80,182.65,184.20,2770582,509676904
20180326,EQNR,Oslo Børs,181.40,183.50,180.40,182.40,2202039,401280697
20180323,EQNR,Oslo Børs,179.85,182.00,177.10,181.75,3491699,628405782
20180322,EQNR,Oslo Børs,182.35,183.30,179.95,180.05,2801446,507703870
20180321,EQNR,Oslo Børs,179.20,182.20,178.10,182.20,2442789,440803396
20180320,EQNR,Oslo Børs,176.40,179.00,175.60,178.65,2694256,478835090
20180319,EQNR,Oslo Børs,178.70,179.40,175.85,175.85,2641082,467583293
20180316,EQNR,Oslo Børs,177.60,179.20,176.55,178.55,4358109,776900064
20180315,EQNR,Oslo Børs,179.65,179.95,176.60,177.80,3295094,587302162
20180314,EQNR,Oslo Børs,178.95,180.75,178.35,178.35,3602068,645074626
20180313,EQNR,Oslo Børs,178.45,181.25,178.30,179.45,3568022,641732864
20180312,EQNR,Oslo Børs,179.25,179.70,177.50,177.70,2646826,472015125
20180309,EQNR,Oslo Børs,177.40,178.70,176.40,178.30,3210874,570391478
20180308,EQNR,Oslo Børs,178.10,178.80,177.35,178.00,2660148,473642014
20180307,EQNR,Oslo Børs,180.00,180.70,178.35,178.90,3300705,592572506
20180306,EQNR,Oslo Børs,178.65,182.40,178.25,182.10,3258203,589403380
20180305,EQNR,Oslo Børs,175.75,177.70,175.55,176.95,2234573,394771852
20180302,EQNR,Oslo Børs,178.35,178.80,174.75,174.90,3478887,612860131
20180301,EQNR,Oslo Børs,179.90,180.70,178.50,178.95,2750386,493746808
20180228,EQNR,Oslo Børs,180.80,183.55,180.55,182.25,2877989,524032695
20180227,EQNR,Oslo Børs,182.05,182.85,181.05,182.45,2126353,387093426
20180226,EQNR,Oslo Børs,182.70,183.90,182.00,182.05,2875940,525327819
20180223,EQNR,Oslo Børs,179.05,181.30,178.05,180.95,2850474,512752032
20180222,EQNR,Oslo Børs,175.95,178.70,175.55,177.85,2978614,527934500
20180221,EQNR,Oslo Børs,175.90,178.45,175.75,178.35,3580777,636481796
20180220,EQNR,Oslo Børs,176.00,177.70,175.40,177.70,2702430,478190160
20180219,EQNR,Oslo Børs,176.60,177.10,175.50,175.70,1120485,197321482
20180216,EQNR,Oslo Børs,175.65,176.40,174.45,175.50,2773390,486508112
20180215,EQNR,Oslo Børs,175.40,176.65,173.95,174.30,6758090,1184473547
20180214,EQNR,Oslo Børs,174.90,175.00,170.40,172.25,3742499,644489311
20180213,EQNR,Oslo Børs,174.25,174.90,173.15,174.00,3449897,600161164
20180212,EQNR,Oslo Børs,171.95,175.70,171.95,174.15,16639496,2879393893
20180209,EQNR,Oslo Børs,172.45,174.80,171.20,172.65,18690968,3252913499
20180208,EQNR,Oslo Børs,178.30,179.25,175.75,176.30,25671137,4560871506
20180207,EQNR,Oslo Børs,182.55,183.30,177.75,182.60,6399392,1158293861
20180206,EQNR,Oslo Børs,172.00,176.95,171.40,174.55,5342059,931928451
20180205,EQNR,Oslo Børs,175.65,178.00,175.10,177.70,16549098,2921589633
20180202,EQNR,Oslo Børs,182.50,183.90,177.60,178.25,14263799,2590144095
20180201,EQNR,Oslo Børs,182.75,184.40,181.10,182.25,23314181,4265470063
20180131,EQNR,Oslo Børs,178.70,180.50,178.70,180.00,2934388,527877120
20180130,EQNR,Oslo Børs,181.45,181.80,178.45,179.50,3844011,692736330
20180129,EQNR,Oslo Børs,185.25,186.55,183.10,183.50,2933049,540823846
20180126,EQNR,Oslo Børs,187.00,187.75,185.05,185.30,2249019,418182429
20180125,EQNR,Oslo Børs,188.25,188.65,186.00,187.10,4571425,854413894
20180124,EQNR,Oslo Børs,185.90,188.85,185.40,187.30,4032682,755194975
20180123,EQNR,Oslo Børs,185.00,186.00,184.60,185.30,2621362,485642733
20180122,EQNR,Oslo Børs,181.50,184.10,181.50,184.00,2414028,441141266
20180119,EQNR,Oslo Børs,182.10,183.20,181.70,181.95,4642949,846063662
20180118,EQNR,Oslo Børs,184.15,184.85,183.35,183.90,3130019,576470367
20180117,EQNR,Oslo Børs,183.65,184.00,182.45,183.95,2790864,512415732
20180116,EQNR,Oslo Børs,185.90,186.05,184.45,184.90,2232117,413023441
20180115,EQNR,Oslo Børs,186.00,186.60,184.95,185.95,2265228,420756370
20180112,EQNR,Oslo Børs,185.15,185.90,183.10,185.90,3221422,595530669
20180111,EQNR,Oslo Børs,185.00,185.80,183.80,185.60,2566210,475127993
20180110,EQNR,Oslo Børs,185.00,185.80,183.40,184.40,2621055,483590005
20180109,EQNR,Oslo Børs,184.00,185.05,182.95,184.40,2466790,454110020
20180108,EQNR,Oslo Børs,182.00,183.45,181.20,182.90,2350354,429047303
